,n,GroundTruth,Static,Looped,ॐ Function (Strict)
5,21,Composite,Composite,Composite,Prime
10,31,Prime,Composite,Composite,Prime
11,33,Composite,Prime,Composite,Prime
15,41,Prime,Composite,Composite,Prime
20,51,Composite,Composite,Composite,Prime
23,57,Composite,Prime,Composite,Prime
25,61,Prime,Composite,Composite,Prime
30,71,Prime,Composite,Composite,Prime
33,77,Composite,Prime,Composite,Prime
35,81,Composite,Composite,Composite,Prime
38,87,Composite,Prime,Prime,Prime
40,91,Composite,Composite,Composite,Prime
41,93,Composite,Prime,Prime,Prime
45,101,Prime,Composite,Composite,Prime
50,111,Composite,Composite,Composite,Prime
55,121,Composite,Composite,Composite,Prime
56,123,Composite,Prime,Prime,Prime
60,131,Prime,Composite,Composite,Prime
65,141,Composite,Composite,Composite,Prime
66,143,Composite,Prime,Composite,Prime
68,147,Composite,Prime,Prime,Prime
70,151,Prime,Composite,Composite,Prime
71,153,Composite,Prime,Composite,Prime
75,161,Composite,Composite,Composite,Prime
79,169,Composite,Prime,Composite,Prime
80,171,Composite,Composite,Composite,Prime
83,177,Composite,Prime,Prime,Prime
85,181,Prime,Composite,Composite,Prime
86,183,Composite,Prime,Prime,Prime
88,187,Composite,Prime,Composite,Prime
90,191,Prime,Composite,Composite,Prime
95,201,Composite,Composite,Composite,Prime
99,209,Composite,Prime,Composite,Prime
100,211,Prime,Composite,Composite,Prime
101,213,Composite,Prime,Prime,Prime
103,217,Composite,Prime,Prime,Prime
105,221,Composite,Composite,Composite,Prime
110,231,Composite,Composite,Composite,Prime
113,237,Composite,Prime,Prime,Prime
115,241,Prime,Composite,Composite,Prime
116,243,Composite,Prime,Prime,Prime
118,247,Composite,Prime,Composite,Prime
120,251,Prime,Composite,Composite,Prime
121,253,Composite,Prime,Composite,Prime
125,261,Composite,Composite,Composite,Prime
128,267,Composite,Prime,Prime,Prime
130,271,Prime,Composite,Composite,Prime
135,281,Prime,Composite,Composite,Prime
138,287,Composite,Prime,Prime,Prime
139,289,Composite,Prime,Composite,Prime
140,291,Composite,Composite,Composite,Prime
144,299,Composite,Prime,Composite,Prime
145,301,Composite,Composite,Composite,Prime
146,303,Composite,Prime,Prime,Prime
150,311,Prime,Composite,Composite,Prime
154,319,Composite,Prime,Composite,Prime
155,321,Composite,Composite,Composite,Prime
156,323,Composite,Prime,Composite,Prime
158,327,Composite,Prime,Prime,Prime
160,331,Prime,Composite,Composite,Prime
161,333,Composite,Prime,Composite,Prime
165,341,Composite,Composite,Composite,Prime
170,351,Composite,Composite,Composite,Prime
173,357,Composite,Prime,Prime,Prime
175,361,Composite,Composite,Composite,Prime
176,363,Composite,Prime,Composite,Prime
180,371,Composite,Composite,Composite,Prime
183,377,Composite,Prime,Composite,Prime
185,381,Composite,Composite,Composite,Prime
190,391,Composite,Composite,Composite,Prime
191,393,Composite,Prime,Prime,Prime
195,401,Prime,Composite,Composite,Prime
196,403,Composite,Prime,Composite,Prime
198,407,Composite,Prime,Composite,Prime
200,411,Composite,Composite,Composite,Prime
203,417,Composite,Prime,Prime,Prime
205,421,Prime,Composite,Composite,Prime
206,423,Composite,Prime,Composite,Prime
208,427,Composite,Prime,Prime,Prime
210,431,Prime,Composite,Composite,Prime
213,437,Composite,Prime,Composite,Prime
215,441,Composite,Composite,Composite,Prime
218,447,Composite,Prime,Prime,Prime
220,451,Composite,Composite,Composite,Prime
221,453,Composite,Prime,Prime,Prime
225,461,Prime,Composite,Composite,Prime
230,471,Composite,Composite,Composite,Prime
231,473,Composite,Prime,Composite,Prime
235,481,Composite,Composite,Composite,Prime
240,491,Prime,Composite,Composite,Prime
241,493,Composite,Prime,Composite,Prime
243,497,Composite,Prime,Prime,Prime
245,501,Composite,Composite,Composite,Prime
248,507,Composite,Prime,Composite,Prime
250,511,Composite,Composite,Composite,Prime
251,513,Composite,Prime,Composite,Prime
253,517,Composite,Prime,Composite,Prime
255,521,Prime,Composite,Composite,Prime
258,527,Composite,Prime,Composite,Prime
259,529,Composite,Prime,Composite,Prime
260,531,Composite,Composite,Composite,Prime
261,533,Composite,Prime,Composite,Prime
263,537,Composite,Prime,Prime,Prime
265,541,Prime,Composite,Composite,Prime
266,543,Composite,Prime,Prime,Prime
270,551,Composite,Composite,Composite,Prime
274,559,Composite,Prime,Composite,Prime
275,561,Composite,Composite,Composite,Prime
280,571,Prime,Composite,Composite,Prime
281,573,Composite,Prime,Prime,Prime
285,581,Composite,Composite,Composite,Prime
286,583,Composite,Prime,Composite,Prime
289,589,Composite,Prime,Composite,Prime
290,591,Composite,Composite,Composite,Prime
293,597,Composite,Prime,Prime,Prime
295,601,Prime,Composite,Composite,Prime
296,603,Composite,Prime,Composite,Prime
300,611,Composite,Composite,Composite,Prime
305,621,Composite,Composite,Composite,Prime
308,627,Composite,Prime,Composite,Prime
309,629,Composite,Prime,Composite,Prime
310,631,Prime,Composite,Composite,Prime
311,633,Composite,Prime,Prime,Prime
313,637,Composite,Prime,Composite,Prime
315,641,Prime,Composite,Composite,Prime
319,649,Composite,Prime,Composite,Prime
320,651,Composite,Composite,Composite,Prime
325,661,Prime,Composite,Composite,Prime
326,663,Composite,Prime,Composite,Prime
328,667,Composite,Prime,Composite,Prime
330,671,Composite,Composite,Composite,Prime
335,681,Composite,Composite,Composite,Prime
338,687,Composite,Prime,Prime,Prime
339,689,Composite,Prime,Composite,Prime
340,691,Prime,Composite,Composite,Prime
343,697,Composite,Prime,Composite,Prime
345,701,Prime,Composite,Composite,Prime
346,703,Composite,Prime,Composite,Prime
348,707,Composite,Prime,Prime,Prime
350,711,Composite,Composite,Composite,Prime
351,713,Composite,Prime,Composite,Prime
353,717,Composite,Prime,Prime,Prime
355,721,Composite,Composite,Composite,Prime
356,723,Composite,Prime,Prime,Prime
360,731,Composite,Composite,Composite,Prime
363,737,Composite,Prime,Composite,Prime
365,741,Composite,Composite,Composite,Prime
370,751,Prime,Composite,Composite,Prime
